url,title,location,house_type,bathrooms,bedrooms,properties,amenities,price
https://jiji.com.gh/airport-residential-area/houses-apartments-for-rent/10bdrm-house-in-airport-residential-area-for-rent-eZSxFXgDUp0i5yXZb8HkJSef.html,10bdrm House in Airport Residential Area for rent,"Greater Accra, Airport Residential Area, 1 hour ago",House,10 bathrooms,10 bedrooms,"{'Property Address': 'Airport west', 'Property Size': '45', 'Self Contained': 'Yes', 'Condition': 'Old', 'Furnishing': 'Unfurnished', 'Minimum Rental Period': '12 Month'}",,"GH₵ 8,000"
https://jiji.com.gh/ga-south-municipal/houses-apartments-for-rent/1bdrm-room-parlour-in-ga-south-municipal-for-rent-cCnaESTsXhbdlxJKEr21aY0I.html,1bdrm Room & Parlour in Ga South Municipal for rent,"Greater Accra, Ga South Municipal, 1 hour ago",Room & Parlour,1 bathroom,1 bedroom,"{'Property Address': 'Tuba (Kokrobite Road)*', 'Property Size': '878', 'Condition': 'Newly-Built', 'Furnishing': 'Unfurnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}","Tiled Floor,Pre-Paid Meter,Pop Ceiling,Kitchen Shelf,Kitchen Cabinets,Dishwasher","GH₵ 1,000"
https://jiji.com.gh/mallam-junction/houses-apartments-for-rent/furnished-2bdrm-apartment-in-mallam-junction-for-rent-nQEa8AaCBz2zr6ydpcNboCQY.html,Furnished 2bdrm Apartment in Mallam Junction for rent,"Greater Accra, Gbawe, Mallam Junction, 46 min ago",Apartment,2 bathrooms,2 bedrooms,"{'Property Address': 'Mallam cp old taxi round', 'Property Size': '400', 'Self Contained': 'Yes', 'Condition': 'Newly-Built', 'Furnishing': 'Furnished', 'Toilets': '2'}","24-hour Electricity,Air Conditioning,Dining Area,Dishwasher,Hot Water,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Kitchen Shelf","GH₵ 4,000"
https://jiji.com.gh/spintex/houses-apartments-for-rent/2bdrm-apartment-in-tiyumba-real-estate-spintex-for-rent-a9YQ6zA9EgzMwjIcldu4TVjV.html,"2bdrm Apartment in Tiyumba Real Estate, Spintex for rent","Greater Accra, Spintex, 1 hour ago",Apartment,2 bathrooms,2 bedrooms,"{'Property Address': 'Spintex road 🛣️🛣️', 'Estate Name': 'Tiyumba Real Estate Agency.', 'Property Size': '55', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '3', 'Agency Fee': '10', 'Caution Fee': '200', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe","GH₵ 6,500"
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-adjiringanor-east-legon-for-rent-kPtkveKM8GBbvmSPyeJoe5vE.html,"4bdrm Townhouse / Terrace in Adjiringanor, East Legon for rent","Greater Accra, East Legon, 15 min ago",Townhouse / Terrace,4 bathrooms,4 bedrooms,"{'Property Address': 'Adjiringanor', 'Estate Name': 'Adjiringanor', 'Property Size': '422', 'Subtype': 'Detached', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '5', 'Agency Fee': '10'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe","GH₵ 16,000"
https://jiji.com.gh/tetegu/houses-apartments-for-rent/4bdrm-apartment-in-tetegu-for-rent-iIlnkEw43FsgQ1OUtWHotxwh.html,4bdrm Apartment in Tetegu for rent,"Greater Accra, Weija, Tetegu, 15 min ago",Apartment,3 bathrooms,4 bedrooms,"{'Property Address': 'Sam properties', 'Estate Name': 'Tetegu', 'Property Size': '30', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '3'}","Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 3,500"
https://jiji.com.gh/kasoa/houses-apartments-for-rent/2bdrm-apartment-in-kasoa-for-rent-jHhBiS8q69mcXI43l3LCFXA1.html,2bdrm Apartment in Kasoa for rent,"Greater Accra, Kasoa, 1 hour ago",Apartment,2 bathrooms,2 bedrooms,"{'Property Address': 'Millennium City Sector 5', 'Property Size': '170', 'Self Contained': 'Yes', 'Condition': 'Newly-Built', 'Furnishing': 'Semi-Furnished', 'Toilets': '3', 'Agency Fee': '5', 'Caution Fee': '500'}","24-hour Electricity,Dining Area,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 1,200"
https://jiji.com.gh/ga-west-municipal/houses-apartments-for-rent/1bdrm-house-in-ga-west-municipal-for-rent-5SIkcO5m6mwi7InLNPlC7UEF.html,1bdrm House in Ga West Municipal for rent,"Greater Accra, Ga West Municipal, 1 hour ago",House,1 bathroom,1 bedroom,"{'Property Address': 'EG-319-4244', 'Property Size': '70', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}",,GH₵ 490
https://jiji.com.gh/cantonments/houses-apartments-for-rent/furnished-1bdrm-apartment-in-cantonments-for-rent-mkD1ce7K4HdBKdl64kJZ44pt.html,Furnished 1bdrm Apartment in Cantonments for rent,"Greater Accra, Cantonments, 16 min ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'Cantonments', 'Estate Name': 'Cantonments', 'Property Size': '414', 'Self Contained': 'Yes', 'Condition': 'Fairly Used', 'Furnishing': 'Furnished', 'Toilets': '1', 'Agency Fee': '10'}","24-hour Electricity,Air Conditioning,Chandelier,Dining Area,Balcony,Dishwasher,Hot Water,Kitchen Shelf,Microwave,Kitchen Cabinets,Pop Ceiling,Refrigerator,Pre-Paid Meter,Tiled Floor,Wardrobe,TV,Wi-Fi","GH₵ 15,000"
https://jiji.com.gh/community-25/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-nyamedua-estate-community-25-5us1dbRls6NUGzI2swlEGjJ9.html,"Furnished 2bdrm Block of Flats in Nyamedua Estate, Community 25","Greater Accra, Tema Metropolitan, Community 25, 1 hour ago",Block of Flats,1 bathroom,2 bedrooms,"{'Property Address': 'Sethi Estate', 'Estate Name': 'Nyamedua Estate', 'Property Size': '70', 'Self Contained': 'Yes', 'Condition': 'Newly-Built', 'Furnishing': 'Furnished', 'Toilets': '1', 'Service Charge Covers': 'Common area\nRubbish collection\nstreet lighting'}","24-hour Electricity,Air Conditioning,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Refrigerator,Tiled Floor,TV,Wardrobe","GH₵ 1,500"
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/1bdrm-room-parlour-in-motorway-adjiriganor-for-rent-wSnPmZk6VPtrhJDcYJG86Zva.html,"1bdrm Room & Parlour in Motorway, Adjiriganor for rent","Greater Accra, Adjiriganor, 16 min ago",Room & Parlour,1 bathroom,1 bedroom,"{'Property Address': 'Motorway', 'Estate Name': 'Motorway', 'Property Size': '120', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Agency Fee': '10'}","Air Conditioning,Balcony,Chandelier,Hot Water,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 3,500"
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/3bdrm-apartment-in-adjiringanor-adjiriganor-for-rent-sw1NprEt0Jo2oLfQg2Z9KxBV.html,"3bdrm Apartment in Adjiringanor, Adjiriganor for rent","Greater Accra, Adjiriganor, 15 min ago",Apartment,3 bathrooms,3 bedrooms,"{'Property Address': 'Adjiringanor', 'Estate Name': 'Adjiringanor', 'Property Size': '885', 'Condition': 'Newly-Built', 'Furnishing': 'Semi-Furnished', 'Toilets': '4', 'Agency Fee': '10'}","24-hour Electricity,Apartment,Air Conditioning,Balcony,Chandelier,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Refrigerator,Wardrobe,Tiled Floor","GH₵ 10,500"
https://jiji.com.gh/east-legon/houses-apartments-for-rent/3bdrm-apartment-in-east-legon-for-rent-CeyxwT7pvNvN3SKXTbEeR6gM.html,3bdrm Apartment in East Legon for rent,"Greater Accra, East Legon, 15 min ago",Apartment,2 bathrooms,3 bedrooms,"{'Property Address': 'East Legon', 'Estate Name': 'East Legon', 'Property Size': '420', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '2', 'Agency Fee': '10'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe","GH₵ 8,000"
https://jiji.com.gh/ga-west-municipal/houses-apartments-for-rent/2bdrm-house-in-ga-west-municipal-for-rent-r337qYAXTkEw1PS6PdyDEgR0.html,2bdrm House in Ga West Municipal for rent,"Greater Accra, Ga West Municipal, 1 hour ago",House,1 bathroom,2 bedrooms,"{'Property Address': 'EG-319-4244', 'Property Size': '80', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}",,GH₵ 750
https://jiji.com.gh/santa-maria/houses-apartments-for-rent/1bdrm-apartment-in-santa-maria-for-rent-ssD1Aas1B4gSIljdxWVI89Pr.html,1bdrm Apartment in Santa Maria for rent,"Greater Accra, Santa Maria, 1 hour ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'A lang Santa Maria', 'Property Size': '200', 'Condition': 'Newly-Built', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Agency Fee': '200', 'Minimum Rental Period': '12 Month'}",,"GH₵ 1,500"
https://jiji.com.gh/malejor/houses-apartments-for-rent/2bdrm-apartment-in-malejor-for-rent-hkSb6dRj2VEo3bnJa9aK9re.html,2bdrm Apartment in Malejor for rent,"Greater Accra, Adenta, Malejor, 2 hours ago",Apartment,2 bathrooms,2 bedrooms,"{'Property Address': 'Malejor Adenta Municipality', 'Property Size': '70', 'Self Contained': 'Yes', 'Condition': 'Newly-Built', 'Furnishing': 'Unfurnished', 'Toilets': '2', 'Agency Fee': '150', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Balcony,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 2,200"
https://jiji.com.gh/lapaz/houses-apartments-for-rent/1bdrm-apartment-in-lapaz-for-rent-1vK61a3pZz4msCdTlFq90vbE.html,1bdrm Apartment in Lapaz for rent,"Greater Accra, Lapaz, 1 hour ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'Race course', 'Property Size': '20', 'Self Contained': 'Yes', 'Condition': 'Renovated', 'Furnishing': 'Unfurnished', 'Toilets': '1', 'Agency Fee': '10', 'Minimum Rental Period': '12 Month'}",,"GH₵ 1,500"
https://jiji.com.gh/east-legon/houses-apartments-for-rent/1bdrm-apartment-in-american-house-east-legon-for-rent-gwGZ4MXpD1OAG6vmToEhLSb.html,"1bdrm Apartment in American House, East Legon for rent","Greater Accra, East Legon, 15 min ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'American House', 'Estate Name': 'American House', 'Property Size': '125', 'Condition': 'Newly-Built', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Agency Fee': '10'}","Air Conditioning,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe","GH₵ 5,000"
https://jiji.com.gh/east-legon/houses-apartments-for-rent/5bdrm-villa-in-trasacco-east-legon-for-rent-3vrBQkEdoulBALT7562EPwBE.html,"5bdrm Villa in Trasacco, East Legon for rent","Greater Accra, East Legon, 15 min ago",Villa,5 bathrooms,5 bedrooms,"{'Property Address': 'Trasacco', 'Estate Name': 'Trasacco', 'Property Size': '755', 'Subtype': 'Detached', 'Condition': 'Renovated', 'Furnishing': 'Semi-Furnished', 'Toilets': '6', 'Agency Fee': '10'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe","GH₵ 40,000"
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-house-in-ability-east-legon-for-rent-5jupB4KKwbB5me2HvMX70O4y.html,"4bdrm House in Ability, East Legon for rent","Greater Accra, East Legon, 16 min ago",House,4 bathrooms,4 bedrooms,"{'Property Address': 'Ability', 'Estate Name': 'Ability', 'Property Size': '788', 'Self Contained': 'Yes', 'Subtype': 'Detached', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '5', 'Agency Fee': '10'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe","GH₵ 15,000"
